 34.68 , 23.56 , 53.09 , 30.52 , -1.00 , 36.93 , 

15.64 , 14.72 , 58.49 , 38.64 , -1.00 , 51.95 , 

13.50 , 13.34 , 57.00 , 35.76 , -1.00 , 60.11 , 

16.21 , 15.64 , 53.69 , 35.03 , -1.00 , -1.00 , 

7.48 , 7.48 , 41.06 , 34.68 , -1.00 , -1.00 , 

5.26 , 5.57 , 40.05 , 35.76 , -1.00 , -1.00 , 

9.43 , 9.35 , 42.13 , 35.39 , -1.00 , -1.00 , 

.00 , -1.00 , 

9.55 , 9.55 , 38.64 , 32.74 , -1.00 , 60.11 , 

9.80 , 9.59 , 37.76 , 30.77 , -1.00 , -1.00 , 

.00 , -1.00 , 

9.98 , 9.98 , 34.68 , 26.17 , -1.00 , -1.00 , 

57.73 , 38.64 , 35.03 , 26.71 , -1.00 , -1.00 , 

-1.00 , -1.00 , 30.52 , 30.02 , -1.00 , -1.00 , 

-1.00 , -1.00 , 32.15 , 25.40 , -1.00 , -1.00 , 

42.70 , 35.39 , 31.58 , 23.56 , -1.00 , -1.00 , 

37.34 , 31.58 , 26.17 , 23.14 , -1.00 , -1.00 , 

36.93 , 31.58 , 26.71 , 23.14 , -1.00 , -1.00 , 

38.64 , 31.31 , 23.78 , 21.27 , -1.00 , -1.00 , 

38.64 , 32.44 , 21.98 , 20.44 , -1.00 , -1.00 , 

